epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2186.25,0.64619,0.50195,1,0.87551,0.00055545,0.00055545,0.00055545
2,4549.64,0.53648,0.54466,1,0.956,0.000744448,0.000744448,0.000744448
3,7004.33,0.4583,0.50214,1,1.04603,0.000566706,0.000566706,0.000566706
