n_subjects,accuracy,sensitivity,specificity,auc,fold
17,0.6470588235294118,0.375,0.8888888888888888,0.75,fold_0
17,0.5294117647058824,0.25,0.7777777777777778,0.5416666666666666,fold_1
17,0.5882352941176471,0.3333333333333333,0.875,0.7638888888888888,fold_2
16,0.5625,0.4444444444444444,0.7142857142857143,0.5238095238095237,fold_3
17,0.8235294117647058,0.875,0.7777777777777778,0.763888888888889,fold_4
