n_subjects,accuracy,sensitivity,specificity,auc,fold
17,0.5294117647058824,0.625,0.4444444444444444,0.5138888888888888,fold_0
17,0.5294117647058824,0.75,0.3333333333333333,0.5555555555555556,fold_1
17,0.5882352941176471,0.4444444444444444,0.75,0.5416666666666667,fold_2
16,0.5625,0.4444444444444444,0.7142857142857143,0.5873015873015873,fold_3
17,0.5882352941176471,0.5,0.6666666666666666,0.5416666666666667,fold_4
