epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2502.08,0.649,0.4723,1,0.85657,0.000555455,0.000555455,0.000555455
2,4970.19,0.55043,0.4892,1,0.99022,0.000744451,0.000744451,0.000744451
3,7457.56,0.46868,0.50476,1,0.96609,0.000566708,0.000566708,0.000566708
