fold,inner_val_fold,n_subjects,k_selected,C_selected,accuracy,sensitivity,specificity,auc
fold_0,fold_1,19,10,1.0,0.631578947368421,0.6666666666666666,0.6,0.6666666666666666
fold_1,fold_2,18,10,10.0,0.4444444444444444,0.25,0.6,0.425
fold_2,fold_3,18,80,10.0,0.7222222222222222,0.7777777777777778,0.6666666666666667,0.8024691358024691
fold_3,fold_4,18,10,10.0,0.5,0.6666666666666666,0.33333333333333337,0.5308641975308642
fold_4,fold_0,18,40,1.0,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.3333333333333333
