n_subjects,accuracy,sensitivity,specificity,auc,fold,inner_val_fold,recovered
17,0.8235294117647058,0.875,0.7777777777777778,0.8333333333333334,fold_0,unknown (recovered run),True
17,0.4117647058823529,0.25,0.5555555555555556,0.34722222222222227,fold_1,unknown (recovered run),True
17,0.6470588235294118,0.7777777777777778,0.5,0.75,fold_2,unknown (recovered run),True
16,0.4375,0.2222222222222222,0.7142857142857143,0.3650793650793651,fold_3,unknown (recovered run),True
17,0.35294117647058826,0.375,0.3333333333333333,0.375,fold_4,unknown (recovered run),True
