arm_a,arm_b,n,auc_diff,auc_diff_ci_lo,auc_diff_ci_hi,auc_diff_p,mcnemar_b,mcnemar_c,mcnemar_p,kappa
CNN_scalogram,CNN_topomap,84,-0.0011337868480725266,-0.15995462280204192,0.16296497584541061,0.9924,21,20,1.0,0.020477815699658723
CNN_scalogram,Classical,84,-0.03486394557823136,-0.18238636363636362,0.1099651585939485,0.639,14,16,0.8555355519056321,0.2840909090909092
CNN_topomap,Classical,84,-0.03373015873015883,-0.18689959490740737,0.1144908519414259,0.6588,17,20,0.7428293587290682,0.11604095563139943
