rule,kept,per_subject,pct_vetoed
current (no veto),313,3.0388349514563107,0.0
region must match reason,150,1.4563106796116505,0.5207667731629393
focality > 1.5,172,1.6699029126213591,0.4504792332268371
focality > 2.0,111,1.0776699029126213,0.645367412140575
region match AND focality > 1.5,99,0.9611650485436893,0.6837060702875399
region match AND focality > 2.0,71,0.6893203883495146,0.7731629392971247
region match AND focality > 1.5 AND occipital <= 1.5,99,0.9611650485436893,0.6837060702875399
