epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2288.81,0.65325,0.57633,1,0.74981,0.000555451,0.000555451,0.000555451
2,4879.58,0.53747,0.51663,1,0.81541,0.000744449,0.000744449,0.000744449
3,7191.08,0.45238,0.5171,1,0.88169,0.000566707,0.000566707,0.000566707
