epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2567.26,0.65553,0.57559,1,0.71644,0.00055545,0.00055545,0.00055545
2,4858.82,0.55618,0.52976,1,0.79895,0.000744448,0.000744448,0.000744448
3,7340.98,0.46809,0.56267,1,0.873,0.000566706,0.000566706,0.000566706
