fold,inner_val_fold,n_subjects,k_selected,C_selected,accuracy,sensitivity,specificity,auc
fold_0,fold_1,19,20,10.0,0.631578947368421,0.4444444444444444,0.8,0.6111111111111112
fold_1,fold_2,18,10,10.0,0.6111111111111112,0.625,0.6,0.4625
fold_2,fold_3,18,80,1.0,0.6111111111111112,0.4444444444444444,0.7777777777777778,0.5802469135802469
fold_3,fold_4,18,10,10.0,0.5,0.5555555555555556,0.4444444444444444,0.4444444444444444
fold_4,fold_0,18,80,1.0,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.3950617283950617
